uni3A9C	U+3A9C	㪜
uni3E35	U+3E35	㸵
uni3E36	U+3E36	㸶
uni3E37	U+3E37	㸷
uni3E38	U+3E38	㸸
uni3E39	U+3E39	㸹
uni3E3A	U+3E3A	㸺
uni3E3B	U+3E3B	㸻
uni3E3C	U+3E3C	㸼
uni3E3D	U+3E3D	㸽
uni3E3E	U+3E3E	㸾
uni3E3F	U+3E3F	㸿
uni3E40	U+3E40	㹀
uni3E41	U+3E41	㹁
uni3E42	U+3E42	㹂
uni3E43	U+3E43	㹃
uni3E44	U+3E44	㹄
uni3E45	U+3E45	㹅
uni3E46	U+3E46	㹆
uni3E47	U+3E47	㹇
uni3E48	U+3E48	㹈
uni3E49	U+3E49	㹉
uni3E4A	U+3E4A	㹊
uni3E4B	U+3E4B	㹋
uni3E4C	U+3E4C	㹌
uni3E4D	U+3E4D	㹍
uni3E4E	U+3E4E	㹎
uni3E4F	U+3E4F	㹏
uni3E50	U+3E50	㹐
uni3E51	U+3E51	㹑
uni3E52	U+3E52	㹒
uni3E53	U+3E53	㹓
uni3E54	U+3E54	㹔
uni3E55	U+3E55	㹕
uni3E56	U+3E56	㹖
uni3E57	U+3E57	㹗
uni3E58	U+3E58	㹘
uni3E59	U+3E59	㹙
uni3E5A	U+3E5A	㹚
uni3E5B	U+3E5B	㹛
uni3E5C	U+3E5C	㹜
uni3E5D	U+3E5D	㹝
uni3E5E	U+3E5E	㹞
uni3E5F	U+3E5F	㹟
uni3E60	U+3E60	㹠
uni3E61	U+3E61	㹡
uni3E62	U+3E62	㹢
uni3E63	U+3E63	㹣
uni3E64	U+3E64	㹤
uni3E65	U+3E65	㹥
uni3E66	U+3E66	㹦
