U+2B5F4	𫗴
U+4EB8	亸
U+7640	癀
U+762D	瘭
U+2CE26	𬸦
U+7FB1	羱
U+7CD2	糒
U+71CB	燋
U+71BB	熻
U+71CA	燊
U+71DA	燚
U+71CF	燏
U+6FE9	濩
U+6FCB	濋
U+6FAA	澪
U+6FBD	澽
U+6FB4	澴
U+6FAD	澭
U+6FBC	澼
U+61B7	憷
U+61BA	憺
U+61D4	懔
U+9EC9	黉
U+5B1B	嬛
U+9E68	鹨
U+7FEF	翯
U+2B137	𫄷
U+74B1	璱
U+24A7D	𤩽
U+74AC	璬
U+74AE	璮
U+9AFD	髽
U+64FF	擿
U+85BF	薿
U+85B8	薸
U+6A91	檑
U+6AC6	櫆
U+6A9E	檞
U+91A8	醨
U+7E44	繄
U+78F9	磹
U+78FB	磻
U+77AB	瞫
U+77B5	瞵
U+8E50	蹐
U+87CF	蟏
U+360E	㘎
U+2CB73	𬭳
U+9564	镤
U+2CB76	𬭶
U+2B50D	𫔍
U+9565	镥
U+9568	镨
U+2CB78	𬭸
U+28C54	𨱔
U+2CB7C	𬭼
U+2B50E	𫔎
U+77F0	矰
U+7A59	穙
U+7A5C	穜
U+7A5F	穟
U+7C15	簕
U+7C03	簃
U+7C0F	簏
U+5126	儦
U+9B4B	魋
U+65B6	斶
U+825A	艚
U+2CE2A	𬸪
U+8C3F	谿
U+4CA0	䲠
U+2CD9F	𬶟
U+9CBE	鲾
U+2CDA0	𬶠
U+9CBF	鲿
U+9CC1	鳁
U+9CC2	鳂
U+9CC8	鳈
U+9CC9	鳉
U+736F	獯
U+45EA	䗪
U+9998	馘
U+8955	襕
U+895A	襚
U+2CDA8	𬶨
U+87B1	螱
U+7513	甓
U+5B2C	嬬
U+5B25	嬥
U+26221	𦈡
U+2B138	𫄸
U+74C0	瓀
U+91D0	釐
U+9B36	鬶
U+7207	爇
U+97B3	鞳
U+97AE	鞮
U+2C7C1	𬟁
U+85DF	藟
U+85E6	藦
U+85E8	藨
U+9E72	鹲
U+6AAB	檫
U+9EE1	黡
U+791E	礞
U+790C	礌
U+255A8	𥖨
U+8E62	蹢
U+8E5C	蹜
