uni39E1	U+39E1	㧡
uni39E2	U+39E2	㧢
uni39E3	U+39E3	㧣
uni39E4	U+39E4	㧤
uni39E5	U+39E5	㧥
uni39E6	U+39E6	㧦
uni39E7	U+39E7	㧧
uni39E8	U+39E8	㧨
uni39E9	U+39E9	㧩
uni39EA	U+39EA	㧪
uni39EB	U+39EB	㧫
uni39EC	U+39EC	㧬
uni39ED	U+39ED	㧭
uni39EE	U+39EE	㧮
uni39EF	U+39EF	㧯
uni39F0	U+39F0	㧰
uni39F1	U+39F1	㧱
uni39F2	U+39F2	㧲
uni39F3	U+39F3	㧳
uni39F4	U+39F4	㧴
uni39F5	U+39F5	㧵
uni39F6	U+39F6	㧶
uni39F7	U+39F7	㧷
uni39F8	U+39F8	㧸
uni39F9	U+39F9	㧹
uni39FA	U+39FA	㧺
uni39FB	U+39FB	㧻
uni39FC	U+39FC	㧼
uni39FD	U+39FD	㧽
uni39FE	U+39FE	㧾
uni39FF	U+39FF	㧿
uni3A00	U+3A00	㨀
uni3A01	U+3A01	㨁
uni3A02	U+3A02	㨂
uni3A03	U+3A03	㨃
uni3A04	U+3A04	㨄
uni3A05	U+3A05	㨅
uni3A06	U+3A06	㨆
uni3A07	U+3A07	㨇
uni3A08	U+3A08	㨈
uni3A09	U+3A09	㨉
uni3A0A	U+3A0A	㨊
uni3A0B	U+3A0B	㨋
uni3A0C	U+3A0C	㨌
uni3A0D	U+3A0D	㨍
uni3A0E	U+3A0E	㨎
uni3A0F	U+3A0F	㨏
uni3A10	U+3A10	㨐
uni3A11	U+3A11	㨑
uni3A12	U+3A12	㨒
uni3A13	U+3A13	㨓
uni3A14	U+3A14	㨔
uni3A15	U+3A15	㨕
uni3A16	U+3A16	㨖
uni3A17	U+3A17	㨗
uni3A18	U+3A18	㨘
uni3A19	U+3A19	㨙
uni3A1A	U+3A1A	㨚
uni3A1B	U+3A1B	㨛
uni3A1C	U+3A1C	㨜
uni3A1D	U+3A1D	㨝
uni3A1E	U+3A1E	㨞
uni3A1F	U+3A1F	㨟
uni3A20	U+3A20	㨠
uni3A21	U+3A21	㨡
uni3A22	U+3A22	㨢
uni3A23	U+3A23	㨣
uni3A24	U+3A24	㨤
uni3A25	U+3A25	㨥
uni3A26	U+3A26	㨦
uni3A27	U+3A27	㨧
uni3A28	U+3A28	㨨
uni3A29	U+3A29	㨩
uni3A2A	U+3A2A	㨪
uni3A2B	U+3A2B	㨫
uni3A2C	U+3A2C	㨬
uni3A2D	U+3A2D	㨭
uni3A2E	U+3A2E	㨮
uni3A2F	U+3A2F	㨯
uni3A30	U+3A30	㨰
uni3A31	U+3A31	㨱
uni3A32	U+3A32	㨲
