uni5598	U+5598	喘
uni5599	U+5599	喙
uni559A	U+559A	喚
uni559B	U+559B	喛
uni559C	U+559C	喜
uni559D	U+559D	喝
uni559E	U+559E	喞
uni559F	U+559F	喟
uni55A0	U+55A0	喠
uni55A1	U+55A1	喡
uni55A2	U+55A2	喢
uni55A3	U+55A3	喣
uni55A4	U+55A4	喤
uni55A5	U+55A5	喥
uni55A6	U+55A6	喦
uni55A7	U+55A7	喧
uni55A8	U+55A8	喨
uni55A9	U+55A9	喩
uni55AA	U+55AA	喪
uni55AB	U+55AB	喫
uni55AC	U+55AC	喬
uni55AD	U+55AD	喭
uni55AE	U+55AE	單
uni55AF	U+55AF	喯
uni55B0	U+55B0	喰
uni55B1	U+55B1	喱
uni55B2	U+55B2	喲
uni55B3	U+55B3	喳
uni55B4	U+55B4	喴
uni55B5	U+55B5	喵
uni55B6	U+55B6	営
uni55B7	U+55B7	喷
uni55B8	U+55B8	喸
uni55B9	U+55B9	喹
uni55BA	U+55BA	喺
uni55BB	U+55BB	喻
uni55BC	U+55BC	喼
uni55BD	U+55BD	喽
uni55BE	U+55BE	喾
uni55BF	U+55BF	喿
uni55C0	U+55C0	嗀
uni55C1	U+55C1	嗁
uni55C2	U+55C2	嗂
uni55C3	U+55C3	嗃
uni55C4	U+55C4	嗄
uni55C5	U+55C5	嗅
uni55C6	U+55C6	嗆
uni55C7	U+55C7	嗇
uni55C8	U+55C8	嗈
uni55C9	U+55C9	嗉
uni55CA	U+55CA	嗊
uni55CB	U+55CB	嗋
uni55CC	U+55CC	嗌
uni55CD	U+55CD	嗍
uni55CE	U+55CE	嗎
uni55CF	U+55CF	嗏
uni55D0	U+55D0	嗐
uni55D1	U+55D1	嗑
uni55D2	U+55D2	嗒
uni55D3	U+55D3	嗓
uni55D4	U+55D4	嗔
uni55D5	U+55D5	嗕
uni55D6	U+55D6	嗖
uni55D7	U+55D7	嗗
uni55D8	U+55D8	嗘
uni55D9	U+55D9	嗙
uni55DA	U+55DA	嗚
uni55DB	U+55DB	嗛
uni55DC	U+55DC	嗜
uni55DD	U+55DD	嗝
uni55DE	U+55DE	嗞
uni55DF	U+55DF	嗟
uni55E0	U+55E0	嗠
uni55E1	U+55E1	嗡
uni55E2	U+55E2	嗢
uni55E3	U+55E3	嗣
uni55E4	U+55E4	嗤
uni55E5	U+55E5	嗥
uni55E6	U+55E6	嗦
uni55E7	U+55E7	嗧
uni55E8	U+55E8	嗨
uni55E9	U+55E9	嗩
uni55EA	U+55EA	嗪
uni55EB	U+55EB	嗫
uni55EC	U+55EC	嗬
uni55ED	U+55ED	嗭
uni55EE	U+55EE	嗮
uni55EF	U+55EF	嗯
uni55F0	U+55F0	嗰
uni55F1	U+55F1	嗱
uni55F2	U+55F2	嗲
uni55F3	U+55F3	嗳
uni55F4	U+55F4	嗴
uni55F5	U+55F5	嗵
uni55F6	U+55F6	嗶
uni55F7	U+55F7	嗷
uni55F8	U+55F8	嗸
uni55F9	U+55F9	嗹
uni55FA	U+55FA	嗺
uni55FB	U+55FB	嗻
uni55FC	U+55FC	嗼
uni55FD	U+55FD	嗽
uni55FE	U+55FE	嗾
uni55FF	U+55FF	嗿
uni5600	U+5600	嘀
uni5601	U+5601	嘁
uni5602	U+5602	嘂
uni5603	U+5603	嘃
uni5604	U+5604	嘄
uni5605	U+5605	嘅
uni5606	U+5606	嘆
uni5607	U+5607	嘇
uni5608	U+5608	嘈
uni5609	U+5609	嘉
uni560A	U+560A	嘊
uni560B	U+560B	嘋
uni560C	U+560C	嘌
uni560D	U+560D	嘍
uni560E	U+560E	嘎
uni560F	U+560F	嘏
uni5610	U+5610	嘐
uni5611	U+5611	嘑
uni5612	U+5612	嘒
uni5613	U+5613	嘓
uni5614	U+5614	嘔
uni5615	U+5615	嘕
uni5616	U+5616	嘖
uni5617	U+5617	嘗
uni5618	U+5618	嘘
uni5619	U+5619	嘙
uni561A	U+561A	嘚
uni561B	U+561B	嘛
uni561C	U+561C	嘜
uni561D	U+561D	嘝
uni561E	U+561E	嘞
uni561F	U+561F	嘟
uni5620	U+5620	嘠
uni5621	U+5621	嘡
uni5622	U+5622	嘢
uni5623	U+5623	嘣
uni5624	U+5624	嘤
uni5625	U+5625	嘥
uni5626	U+5626	嘦
uni5627	U+5627	嘧
uni5628	U+5628	嘨
uni5629	U+5629	嘩
uni562A	U+562A	嘪
uni562B	U+562B	嘫
uni562C	U+562C	嘬
uni562D	U+562D	嘭
uni562E	U+562E	嘮
uni562F	U+562F	嘯
uni5630	U+5630	嘰
uni5631	U+5631	嘱
uni5632	U+5632	嘲
uni5633	U+5633	嘳
uni5634	U+5634	嘴
uni5635	U+5635	嘵
uni5636	U+5636	嘶
uni5637	U+5637	嘷
uni5638	U+5638	嘸
uni5639	U+5639	嘹
uni563A	U+563A	嘺
uni563B	U+563B	嘻
uni563C	U+563C	嘼
uni563D	U+563D	嘽
uni563E	U+563E	嘾
uni563F	U+563F	嘿
uni5640	U+5640	噀
uni5641	U+5641	噁
uni5642	U+5642	噂
uni5643	U+5643	噃
uni5644	U+5644	噄
uni5645	U+5645	噅
uni5646	U+5646	噆
uni5647	U+5647	噇
uni5648	U+5648	噈
uni5649	U+5649	噉
uni564A	U+564A	噊
uni564B	U+564B	噋
uni564C	U+564C	噌
uni564D	U+564D	噍
uni564E	U+564E	噎
uni564F	U+564F	噏
uni5650	U+5650	噐
uni5651	U+5651	噑
uni5652	U+5652	噒
uni5653	U+5653	噓
uni5654	U+5654	噔
uni5655	U+5655	噕
uni5656	U+5656	噖
uni5657	U+5657	噗
uni5658	U+5658	噘
uni5659	U+5659	噙
uni565A	U+565A	噚
uni565B	U+565B	噛
uni565C	U+565C	噜
uni565D	U+565D	噝
uni565E	U+565E	噞
uni565F	U+565F	噟
uni5660	U+5660	噠
uni5661	U+5661	噡
uni5662	U+5662	噢
uni5663	U+5663	噣
uni5664	U+5664	噤
uni5665	U+5665	噥
uni5666	U+5666	噦
uni5667	U+5667	噧
uni5668	U+5668	器
uni5669	U+5669	噩
uni566A	U+566A	噪
uni566B	U+566B	噫
uni566C	U+566C	噬
uni566D	U+566D	噭
uni566E	U+566E	噮
uni566F	U+566F	噯
uni5670	U+5670	噰
uni5671	U+5671	噱
uni5672	U+5672	噲
uni5673	U+5673	噳
uni5674	U+5674	噴
uni5675	U+5675	噵
uni5676	U+5676	噶
uni5677	U+5677	噷
uni5678	U+5678	噸
uni5679	U+5679	噹
uni567A	U+567A	噺
uni567B	U+567B	噻
uni567C	U+567C	噼
uni567D	U+567D	噽
uni567E	U+567E	噾
uni567F	U+567F	噿
uni5680	U+5680	嚀
uni5681	U+5681	嚁
uni5682	U+5682	嚂
uni5683	U+5683	嚃
uni5684	U+5684	嚄
uni5685	U+5685	嚅
uni5686	U+5686	嚆
uni5687	U+5687	嚇
uni5688	U+5688	嚈
uni5689	U+5689	嚉
uni568A	U+568A	嚊
uni568B	U+568B	嚋
uni568C	U+568C	嚌
uni568D	U+568D	嚍
uni568E	U+568E	嚎
uni568F	U+568F	嚏
uni5690	U+5690	嚐
uni5691	U+5691	嚑
uni5692	U+5692	嚒
uni5693	U+5693	嚓
uni5694	U+5694	嚔
uni5695	U+5695	嚕
uni5696	U+5696	嚖
uni5697	U+5697	嚗
uni5698	U+5698	嚘
uni5699	U+5699	嚙
uni569A	U+569A	嚚
uni569B	U+569B	嚛
uni569C	U+569C	嚜
uni569D	U+569D	嚝
uni569E	U+569E	嚞
uni569F	U+569F	嚟
uni56A0	U+56A0	嚠
uni56A1	U+56A1	嚡
uni56A2	U+56A2	嚢
uni56A3	U+56A3	嚣
uni56A4	U+56A4	嚤
