U+23472	𣑲
U+234E4	𣓤
U+234E5	𣓥
U+23519	𣔙
U+23530	𣔰
U+23551	𣕑
U+2355A	𣕚
U+23567	𣕧
U+23584	𣖄
U+23594	𣖔
U+23595	𣖕
U+23599	𣖙
U+2359C	𣖜
U+235BB	𣖻
U+235C4	𣗄
U+235CD	𣗍
U+235CE	𣗎
U+235CF	𣗏
U+235F3	𣗳
U+23600	𣘀
U+23617	𣘗
U+2361A	𣘚
U+23638	𣘸
U+23639	𣘹
U+2363A	𣘺
U+2363B	𣘻
U+2363C	𣘼
U+23640	𣙀
U+23647	𣙇
U+23659	𣙙
U+2365F	𣙟
U+23677	𣙷
U+2368E	𣚎
U+2369E	𣚞
U+236A6	𣚦
U+236AD	𣚭
U+236BA	𣚺
U+236DF	𣛟
U+236EE	𣛮
U+23703	𣜃
U+2370C	𣜌
U+23716	𣜖
U+2371C	𣜜
U+23720	𣜠
U+2372D	𣜭
U+2372F	𣜯
U+2373F	𣜿
U+23763	𣝣
U+23764	𣝤
U+23766	𣝦
U+23781	𣞁
U+237A2	𣞢
U+237BC	𣞼
U+237C2	𣟂
U+237D5	𣟕
U+237D6	𣟖
U+237D7	𣟗
U+237E7	𣟧
U+237F1	𣟱
U+237FF	𣟿
U+23824	𣠤
U+2383A	𣠺
U+2383D	𣠽
U+239C2	𣧂
U+23A98	𣪘
U+23AA7	𣪧
U+23AD9	𣫙
U+23ADB	𣫛
U+23AEE	𣫮
U+23AFA	𣫺
U+23B1A	𣬚
U+23B5A	𣭚
U+23C63	𣱣
U+23C7F	𣱿
U+23C99	𣲙
U+23C9A	𣲚
U+23C9B	𣲛
U+23CB5	𣲵
U+23CB7	𣲷
U+23CBE	𣲾
U+23CC7	𣳇
U+23CC8	𣳈
U+23CC9	𣳉
U+23CFC	𣳼
U+23CFD	𣳽
U+23CFE	𣳾
U+23CFF	𣳿
U+23D00	𣴀
U+23D0E	𣴎
U+23D18	𣴘
U+23D40	𣵀
U+23D5B	𣵛
U+23D7E	𣵾
U+23D8F	𣶏
U+23DB6	𣶶
U+23DB7	𣶷
U+23DB8	𣶸
U+23DB9	𣶹
U+23DBA	𣶺
U+23DBB	𣶻
U+23DBC	𣶼
U+23DBD	𣶽
U+23DD3	𣷓
U+23DE3	𣷣
U+23DF8	𣷸
U+23DF9	𣷹
U+23DFA	𣷺
U+23E06	𣸆
U+23E11	𣸑
U+23E2C	𣸬
U+23E2D	𣸭
U+23E2E	𣸮
U+23E2F	𣸯
U+23E30	𣸰
U+23E31	𣸱
U+23E39	𣸹
U+23E88	𣺈
U+23E89	𣺉
U+23E8A	𣺊
U+23E8B	𣺋
U+23EB9	𣺹
U+23EBF	𣺿
